State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,season trim,season nombot,crop nombot,number randonnn
Tamil Nadu,RAMANATHAPURAM,2004,Kharif     ,Sesamum,1772,320,Kharif,1,3,0.246955869
Jammu and Kashmir ,DODA,2002,Kharif     ,Maize,51566,28530,Kharif,1,2,0.631710204
Odisha,SONEPUR,1999,Kharif     ,Castor seed,20,10,Kharif,1,3,0.295441177
Gujarat,DOHAD,2005,Rabi       ,Other  Rabi pulses,700,500,Rabi,2,3,0.90409832
Madhya Pradesh,MANDSAUR,2006,Kharif     ,Groundnut,1386,1021,Kharif,1,3,0.934812576
Andhra Pradesh,VISAKHAPATANAM,2012,Rabi       ,Sesamum,2385,878,Rabi,2,3,0.40796693
Telangana ,MAHBUBNAGAR,2011,Kharif     ,Groundnut,14257,14499,Kharif,1,3,0.363570883
Odisha,MALKANGIRI,2009,Winter     ,Horse-gram,1655,425.3,Winter,3,3,0.857792107
Punjab,MUKTSAR,2000,Kharif     ,Maize,3000,8000,Kharif,1,2,0.201545165
Bihar,MUZAFFARPUR,2009,Summer     ,Rice,235,343,Summer,3,1,0.211048705
West Bengal,DINAJPUR UTTAR,1998,Winter     ,Rice,174837,237580,Winter,3,1,0.379806747
Bihar,MUNGER,2005,Winter     ,Rice,24716,34856,Winter,3,1,0.236870849
Uttar Pradesh,BALRAMPUR,2003,Summer     ,Onion,79,779,Summer,3,3,0.067302818
Karnataka,HAVERI,2005,Whole Year ,Garlic,1816,1054,Whole Year,3,3,0.37302606
Telangana ,NIZAMABAD,2004,Kharif     ,Maize,46547,163845,Kharif,1,2,0.369781316
Tamil Nadu,VILLUPURAM,2004,Rabi       ,Rapeseed &Mustard,2,1,Rabi,2,3,0.210036857
Rajasthan,BUNDI,2004,Kharif     ,Urad,3898,1692,Kharif,1,3,0.712934262
West Bengal,24 PARAGANAS NORTH,1999,Summer     ,Groundnut,2441,3910,Summer,3,3,0.656951102
Assam,KAMRUP METRO,2007,Kharif     ,Castor seed,2,1,Kharif,1,3,0.748853912
West Bengal,COOCHBEHAR,2012,Rabi       ,Moong(Green Gram),213,163,Rabi,2,3,0.849976599
Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Ragi,822,1462,Rabi,2,3,0.626246022
Telangana ,ADILABAD,2014,Rabi       ,Groundnut,981,1877,Rabi,2,3,0.685184822
Assam,NAGAON,2002,Whole Year ,Sugarcane,8596,286102,Whole Year,3,3,0.087896209
Uttar Pradesh,FATEHPUR,2013,Rabi       ,Rapeseed &Mustard,15660,11145,Rabi,2,3,0.73543657
Madhya Pradesh,SHAHDOL,2010,Rabi       ,Gram,3706,1350,Rabi,2,3,0.518036174
West Bengal,JALPAIGURI,2004,Kharif     ,Dry ginger,1323,2712,Kharif,1,3,0.715811445
Kerala,THRISSUR,2013,Whole Year ,Turmeric,68,141,Whole Year,3,3,0.204154065
Madhya Pradesh,RAJGARH,2005,Kharif     ,Maize,50704,50441,Kharif,1,2,0.842435375
Assam,SIVASAGAR,1997,Whole Year ,Sesamum,61,20,Whole Year,3,3,0.911700073
Gujarat,BHARUCH,2001,Kharif     ,Moong(Green Gram),1900,900,Kharif,1,3,0.204946046
Nagaland,KIPHIRE,2013,Kharif     ,Rice,10090,19880,Kharif,1,1,0.901220382
Meghalaya,SOUTH GARO HILLS,2001,Whole Year ,Sweet potato,125,410,Whole Year,3,3,0.695205787
Karnataka,KOPPAL,2012,Kharif     ,Niger seed,548,141,Kharif,1,3,0.074980478
Tamil Nadu,MADURAI,2011,Whole Year ,Banana,2370,103556,Whole Year,3,3,0.625733131
Maharashtra,OSMANABAD,1998,Rabi       ,Gram,50000,27500,Rabi,2,3,0.819979937
Uttar Pradesh,HAMIRPUR,2013,Kharif     ,Sweet potato,5,66,Kharif,1,3,0.262169196
Haryana,YAMUNANAGAR,2012,Kharif     ,Rice,70040,277000,Kharif,1,1,0.215611858
Bihar,SAHARSA,2006,Rabi       ,Khesari,2491,1572,Rabi,2,3,0.520886845
Madhya Pradesh,MANDLA,2007,Kharif     ,Niger seed,8314,1653,Kharif,1,3,0.075471949
Bihar,MUNGER,2003,Rabi       ,Barley,49,43,Rabi,2,3,0.757794631
Uttar Pradesh,SHRAVASTI,2013,Rabi       ,Coriander,13,7,Rabi,2,3,0.6665562
Odisha,ANUGUL,2002,Rabi       ,Other  Rabi pulses,660,310,Rabi,2,3,0.584637441
Odisha,ANUGUL,1999,Whole Year ,Tobacco,290,190,Whole Year,3,3,0.061417023
Gujarat,AMRELI,2008,Kharif     ,Urad,3400,2000,Kharif,1,3,0.30638698
Andhra Pradesh,CHITTOOR,2005,Kharif     ,Jowar,1825,1221,Kharif,1,3,0.896980644
Tamil Nadu,CUDDALORE,2013,Rabi       ,Jowar,9,19,Rabi,2,3,0.071416368
Karnataka,BELGAUM,2011,Summer     ,Maize,2768,7997,Summer,3,2,0.913983878
Assam,SIVASAGAR,2002,Whole Year ,Arecanut,4353,2752,Whole Year,3,3,0.511500518
Uttar Pradesh,MORADABAD,2007,Rabi       ,Potato,10374,257057,Rabi,2,3,0.970015095
Gujarat,NARMADA,2008,Kharif     ,Arhar/Tur,21200,20900,Kharif,1,3,0.503344334
Uttar Pradesh,MAINPURI,2010,Kharif     ,Rice,49602,120434,Kharif,1,1,0.872616009
Telangana ,ADILABAD,1997,Rabi       ,Sesamum,3900,400,Rabi,2,3,0.320690448
Odisha,SONEPUR,2000,Whole Year ,Sannhamp,120,300,Whole Year,3,3,0.847008639
Uttar Pradesh,CHANDAULI,2001,Kharif     ,Jowar,750,690,Kharif,1,3,0.733406262
Nagaland,MON,2004,Kharif     ,Bajra,220,360,Kharif,1,3,0.506012678
Andhra Pradesh,KADAPA,2013,Rabi       ,Other Kharif pulses,92,112,Rabi,2,3,0.11025613
Maharashtra,GADCHIROLI,1999,Kharif     ,Other Kharif pulses,500,100,Kharif,1,3,0.150262728
Maharashtra,NANDED,2010,Kharif     ,Moong(Green Gram),35500,23400,Kharif,1,3,0.8950343
Odisha,SAMBALPUR,1999,Rabi       ,Maize,160,250,Rabi,2,2,0.421810096
