CROP TYPE,SOIL TYPE,REGION,TEMPERATURE,WEATHER CONDITION,WATER REQUIREMENT,RANDOM,crop type1,soil type1,weather condition1,region1
TOMATO,WET,HUMID,40-50,NORMAL,4.44,0.593497115,1,2,1,1
MELON,HUMID,SEMI ARID,20-30,WINDY,6.14,0.259808873,2,3,2,3
SOYABEAN,HUMID,DESERT,30-40,WINDY,8.4,0.371388631,3,3,2,4
SOYABEAN,WET,SEMI HUMID,20-30,NORMAL,3.6,0.146149203,3,2,1,2
ONION,HUMID,SEMI HUMID,13-20,RAINY,2.375,0.866397403,4,3,3,2
ONION,DRY,DESERT,40-50,RAINY,0.8,0.178108672,4,1,3,4
CITRUS,WET,HUMID,40-50,RAINY,0.2,0.016012844,6,2,3,1
SOYABEAN,WET,HUMID,40-50,WINDY,5.6,0.703863051,3,2,2,1
COTTON,DRY,SEMI HUMID,40-50,NORMAL,9.9,0.792187025,5,1,1,2
RICE,DRY,SEMI HUMID,40-50,WINDY,17.5,0.601503437,9,1,2,2
RICE,WET,SEMI HUMID,20-30,SUNNY,9,0.066342673,9,2,4,2
MAIZE,WET,SEMI ARID,20-30,SUNNY,5.56,0.824450437,7,2,4,3
TOMATO,HUMID,HUMID,40-50,WINDY,6.52,0.683561828,1,3,2,1
WHEAT,HUMID,SEMI HUMID,13-20,RAINY,0.3,0.620705623,8,3,3,2
ONION,DRY,HUMID,20-30,RAINY,5.25,0.768248266,4,1,3,1
CITRUS,DRY,SEMI ARID,13-20,WINDY,6.05,0.827531923,6,1,2,3
RICE,DRY,SEMI ARID,30-40,SUNNY,19,0.78855311,9,1,4,3
SUGARCANE,HUMID,HUMID,20-30,SUNNY,6.8,0.794374256,10,3,4,1
ONION,HUMID,SEMI HUMID,40-50,NORMAL,6.575,0.483801115,4,3,1,2
COTTON,DRY,SEMI ARID,13-20,WINDY,8.8,0.488308017,5,1,2,3
WHEAT,DRY,SEMI HUMID,30-40,RAINY,2.4,0.687102072,8,1,3,2
SUGARCANE,WET,SEMI HUMID,20-30,WINDY,6.06,0.398409031,10,2,2,2
SOYABEAN,HUMID,DESERT,20-30,NORMAL,6.2,0.664003794,3,3,1,4
TOMATO,DRY,SEMI HUMID,13-20,WINDY,5.86,0.462514269,1,1,2,2
MUSTARD,HUMID,SEMI HUMID,20-30,NORMAL,4.42,0.245671432,11,3,1,2
MELON,DRY,HUMID,40-50,NORMAL,6.96,0.367920099,2,1,1,1
POTATO,HUMID,HUMID,40-50,RAINY,0.3,0.409638565,12,3,3,1
SUGARCANE,HUMID,DESERT,13-20,SUNNY,9.56,0.394255073,10,3,4,4
MAIZE,DRY,SEMI ARID,20-30,SUNNY,8.08,0.562356998,7,1,4,3
CITRUS,HUMID,HUMID,40-50,WINDY,6.3,0.948495546,6,3,2,1
MUSTARD,WET,SEMI HUMID,13-20,NORMAL,2.34,0.633150208,11,2,1,2
MAIZE,WET,HUMID,40-50,SUNNY,6,0.730114347,7,2,4,1
BANANA,DRY,SEMI HUMID,20-30,WINDY,8.8,0.689011486,13,1,2,2
MELON,DRY,DESERT,13-20,SUNNY,7.62,0.798981148,2,1,4,4
RICE,HUMID,SEMI ARID,30-40,WINDY,14.5,0.769616176,9,3,2,3
BANANA,DRY,DESERT,13-20,NORMAL,8.75,0.850957435,13,1,1,4
