Id,Area,Item,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield,Item in number
0,Albania,Maize,1990,1485,121,16.37,36613,2
1,Albania,Potatoes,1990,1485,121,16.37,66667,4
2,Albania,"Rice, paddy",1990,1485,121,16.37,23333,5
3,Albania,Sorghum,1990,1485,121,16.37,12500,6
4,Albania,Soybeans,1990,1485,121,16.37,7000,7
5,Albania,Wheat,1990,1485,121,16.37,30197,9
6,Albania,Maize,1991,1485,121,15.36,29068,2
7,Albania,Potatoes,1991,1485,121,15.36,77818,4
8,Albania,"Rice, paddy",1991,1485,121,15.36,28538,5
9,Albania,Sorghum,1991,1485,121,15.36,6667,6
10,Albania,Soybeans,1991,1485,121,15.36,6066,7
11,Albania,Wheat,1991,1485,121,15.36,20698,9
12,Albania,Maize,1992,1485,121,16.06,24876,2
13,Albania,Potatoes,1992,1485,121,16.06,82920,4
14,Albania,"Rice, paddy",1992,1485,121,16.06,40000,5
15,Albania,Sorghum,1992,1485,121,16.06,3747,6
16,Albania,Soybeans,1992,1485,121,16.06,4507,7
17,Albania,Wheat,1992,1485,121,16.06,24388,9
18,Albania,Maize,1993,1485,121,16.05,24185,2
19,Albania,Potatoes,1993,1485,121,16.05,98446,4
20,Albania,"Rice, paddy",1993,1485,121,16.05,41786,5
21,Albania,Soybeans,1993,1485,121,16.05,7998,7
22,Albania,Wheat,1993,1485,121,16.05,29976,9
23,Albania,Maize,1994,1485,201,16.96,25848,2
24,Albania,Potatoes,1994,1485,201,16.96,81404,4
25,Albania,Soybeans,1994,1485,201,16.96,7927,7
26,Albania,Wheat,1994,1485,201,16.96,24745,9
27,Albania,Maize,1995,1485,251,15.67,31300,2
28,Albania,Potatoes,1995,1485,251,15.67,111323,4
29,Albania,Soybeans,1995,1485,251,15.67,11791,7
30,Albania,Wheat,1995,1485,251,15.67,28703,9
31,Albania,Maize,1996,1485,313.96,15.64,32604,2
32,Albania,Potatoes,1996,1485,313.96,15.64,106138,4
33,Albania,Soybeans,1996,1485,313.96,15.64,15480,7
34,Albania,Wheat,1996,1485,313.96,15.64,21741,9
35,Albania,Maize,1997,1485,376.93,15.9,31862,2
36,Albania,Potatoes,1997,1485,376.93,15.9,109874,4
37,Albania,Soybeans,1997,1485,376.93,15.9,12768,7
38,Albania,Wheat,1997,1485,376.93,15.9,28516,9
39,Albania,Maize,1998,1485,439.89,16.27,33416,2
40,Albania,Potatoes,1998,1485,439.89,16.27,127212,4
41,Albania,Soybeans,1998,1485,439.89,16.27,14327,7
42,Albania,Wheat,1998,1485,439.89,16.27,28037,9
43,Albania,Maize,1999,1485,502.86,16.57,37455,2
44,Albania,Potatoes,1999,1485,502.86,16.57,142018,4
45,Albania,Soybeans,1999,1485,502.86,16.57,17143,7
46,Albania,Wheat,1999,1485,502.86,16.57,24954,9
47,Albania,Maize,2000,1485,565.82,16.67,38811,2
48,Albania,Potatoes,2000,1485,565.82,16.67,141228,4
49,Albania,Soybeans,2000,1485,565.82,16.67,15000,7
50,Albania,Wheat,2000,1485,565.82,16.67,30455,9
51,Albania,Maize,2001,1485,628.79,16.59,38135,2
52,Albania,Potatoes,2001,1485,628.79,16.59,148818,4
53,Albania,Soybeans,2001,1485,628.79,16.59,20000,7
54,Albania,Wheat,2001,1485,628.79,16.59,28220,9
55,Albania,Maize,2002,1485,691.75,16.47,39460,2
56,Albania,Potatoes,2002,1485,691.75,16.47,153868,4
57,Albania,Soybeans,2002,1485,691.75,16.47,20000,7
58,Albania,Wheat,2002,1485,691.75,16.47,31617,9
59,Albania,Maize,2004,1485,817.68,16.16,46197,2
60,Albania,Potatoes,2004,1485,817.68,16.16,149346,4
61,Albania,Soybeans,2004,1485,817.68,16.16,13333,7
62,Albania,Wheat,2004,1485,817.68,16.16,31130,9
63,Albania,Maize,2005,1485,880.64,15.67,45442,2
64,Albania,Potatoes,2005,1485,880.64,15.67,167061,4
65,Albania,Soybeans,2005,1485,880.64,15.67,17500,7
66,Albania,Wheat,2005,1485,880.64,15.67,31582,9
67,Albania,Maize,2006,1485,943.61,15.92,50111,2
68,Albania,Potatoes,2006,1485,943.61,15.92,170745,4
69,Albania,Soybeans,2006,1485,943.61,15.92,20000,7
70,Albania,Wheat,2006,1485,943.61,15.92,30787,9
71,Albania,Maize,2007,1485,1006.57,16.67,46732,2
72,Albania,Potatoes,2007,1485,1006.57,16.67,188902,4
73,Albania,Soybeans,2007,1485,1006.57,16.67,20000,7
74,Albania,Wheat,2007,1485,1006.57,16.67,35496,9
75,Albania,Maize,2008,1485,1069.54,16.71,50000,2
76,Albania,Potatoes,2008,1485,1069.54,16.71,193878,4
77,Albania,Soybeans,2008,1485,1069.54,16.71,20000,7
78,Albania,Wheat,2008,1485,1069.54,16.71,40168,9
79,Albania,Maize,2009,1485,1132.5,16.73,55693,2
80,Albania,Potatoes,2009,1485,1132.5,16.73,219780,4
81,Albania,Soybeans,2009,1485,1132.5,16.73,16667,7
82,Albania,Wheat,2009,1485,1132.5,16.73,40229,9
83,Albania,Maize,2010,1485,1311.17,16.52,66790,2
