ID,Estimated_Insects_Count,Crop_Type,Soil_Type,Pesticide_used,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage,Random Number,Season in number
F00147344,2999,Rabi,Alluvial,1,20,56,0,Summer,Minimal Damage,0.999987701,1
F00022367,531,Rabi,Black-Cotton,2,30,30,0,Summer,Partial Damage,0.999981559,1
F00122074,2016,Rabi,Black-Cotton,2,5,40,0,Winter,Minimal Damage,0.999937528,3
F00085150,1297,Kharif,Alluvial,1,20,24,16,Monsoon,Minimal Damage,0.999901374,2
F00072159,1132,Rabi,Black-Cotton,1,30,29,7,Summer,Minimal Damage,0.999888583,1
F00037448,731,Kharif,Alluvial,1,10,15,17,Summer,Minimal Damage,0.999876886,1
F00053914,915,Kharif,Alluvial,1,15,21,16,Summer,Minimal Damage,0.999861407,1
F00125310,2138,Rabi,Black-Cotton,1,15,36,9,Summer,Minimal Damage,0.999852119,1
F00150371,3336,Kharif,Alluvial,1,15,30,26,Summer,Minimal Damage,0.999848374,1
F00056635,916,Kharif,Alluvial,1,10,23,11,Monsoon,Minimal Damage,0.999842168,2
F00074575,1212,Rabi,Black-Cotton,1,20,44,0,Monsoon,Minimal Damage,0.999841783,2
F00086056,1297,Rabi,Alluvial,1,15,8,30,Monsoon,Minimal Damage,0.999831766,2
F00055383,915,Kharif,Alluvial,1,10,25,2,Monsoon,Minimal Damage,0.999820973,2
F00141381,2688,Rabi,Alluvial,1,40,30,22,Winter,Minimal Damage,0.999818844,3
F00094087,1478,Kharif,Alluvial,1,20,25,11,Monsoon,Minimal Damage,0.999817475,2
F00148715,3164,Rabi,Black-Cotton,1,20,20,15,Monsoon,Minimal Damage,0.999795794,2
F00134456,2401,Rabi,Black-Cotton,1,10,20,10,Monsoon,Minimal Damage,0.999778202,2
F00107201,1678,Kharif,Alluvial,2,5,34,0,Monsoon,Minimal Damage,0.999759593,2
F00122010,2016,Rabi,Alluvial,1,40,14,25,Winter,Minimal Damage,0.999759203,3
F00077758,1212,Rabi,Black-Cotton,1,15,43,1,Monsoon,Minimal Damage,0.99975769,2
F00019131,488,Kharif,Alluvial,1,5,20,10,Monsoon,Minimal Damage,0.999756513,2
F00045545,790,Rabi,Alluvial,1,30,21,13,Summer,Minimal Damage,0.999740832,1
F00059426,984,Rabi,Black-Cotton,1,40,25,9,Winter,Minimal Damage,0.999705513,3
F00154150,3702,Rabi,Black-Cotton,1,20,50,8,Summer,Minimal Damage,0.999696368,1
F00123713,2138,Kharif,Alluvial,2,40,46,0,Winter,Minimal Damage,0.999692551,3
F00105324,1678,Rabi,Alluvial,1,10,14,32,Summer,Minimal Damage,0.999687424,1
F00007137,342,Rabi,Black-Cotton,1,40,18,5,Monsoon,Minimal Damage,0.999677312,2
F00137060,2541,Kharif,Alluvial,1,20,34,11,Summer,Minimal Damage,0.999670772,1
